PicDate,PictureNum,WellNum,Area
20-Jan,1,c1,1.075
20-Jan,2,c5,0.619
20-Jan,3,c6,0.817
20-Jan,4,c7,0.584
20-Jan,5,c11,0.588
20-Jan,6,c12,0.672
20-Jan,7,2,0.488
20-Jan,8,5,0.557
20-Jan,9,6,0.164
20-Jan,10,8,0.437
20-Jan,11,10,0.474
20-Jan,12,12,0.899
20-Jan,13,27,0.957
20-Jan,14,28,0.151
20-Jan,15,29,0.798
20-Jan,16,32,0.781
20-Jan,18,33,0.927
20-Jan,19,34,0.574
20-Jan,20,52,0.297
20-Jan,21,53,0.547
20-Jan,22,54,0.945
20-Jan,23,56,0.466
20-Jan,24,57,0.423
20-Jan,25,60,0.301
20-Jan,26,75,0.542
20-Jan,27,76,0.503
20-Jan,28,77,0.361
20-Jan,29,79,0.303
20-Jan,30,81,0.676
20-Jan,31,84,0.69
20-Jan,32,97,1.239
20-Jan,33,101,1.102
20-Jan,34,102,0.255
20-Jan,35,104,0.927
20-Jan,36,105,1.158
20-Jan,37,108,0.577
20-Jan,39,c25,0.639
20-Jan,40,c26,0.637
20-Jan,41,c27,1.084
20-Jan,42,c32,1
20-Jan,43,c35,0.583
20-Jan,44,c36,0.691
20-Jan,45,121,0.455
20-Jan,46,125,0.204
20-Jan,47,126,0.287
20-Jan,48,127,0.239
20-Jan,49,129,0.253
20-Jan,50,131,0.17
20-Jan,51,145,0.425
20-Jan,52,147,1.043
20-Jan,53,149,0.63
20-Jan,54,153,0.598
20-Jan,55,154,0.806
20-Jan,56,155,0.607
20-Jan,57,169,0.321
20-Jan,58,172,0.598
20-Jan,59,174,0.66
20-Jan,60,175,0.644
20-Jan,61,177,0.439
20-Jan,62,180,0.578
20-Jan,63,194,0.397
20-Jan,64,195,0.347
20-Jan,65,198,0.29
20-Jan,66,200,0.415
20-Jan,67,201,0.809
20-Jan,68,204,0.347
20-Jan,69,218,0.522
20-Jan,70,219,0.626
20-Jan,71,220,0.226
20-Jan,72,223,0.158
20-Jan,73,224,0.702
20-Jan,74,228,0.262
21-Jan,1,c49,1
21-Jan,2,c52,0.555
21-Jan,3,c53,0.659
21-Jan,4,c55,0.718
21-Jan,5,c56,0.54
21-Jan,6,c58,0.396
21-Jan,7,242,0.225
21-Jan,8,244,0.485
21-Jan,10,245,0.495
21-Jan,11,247,0.104
21-Jan,12,248,0.309
21-Jan,13,250,0.411
21-Jan,14,265,0.172
21-Jan,15,267,0.743
21-Jan,16,270,0.764
21-Jan,17,273,0.456
21-Jan,18,274,0.4
21-Jan,19,276,0.678
21-Jan,20,291,0.702
21-Jan,22,292,0.407
21-Jan,24,294,0.365
21-Jan,25,298,0.111
21-Jan,26,299,0.169
21-Jan,27,297,0.064
21-Jan,28,314,0.425
21-Jan,29,316,0.363
21-Jan,30,318,0.309
21-Jan,31,319,0.481
21-Jan,32,322,0.421
21-Jan,33,323,0.737
21-Jan,34,337,0.537
21-Jan,35,338,0.879
21-Jan,36,341,0.714
21-Jan,37,343,0.655
21-Jan,38,346,0.434
21-Jan,39,348,0.32
21-Jan,40,c38,0.804
21-Jan,41,c39,0.493
21-Jan,42,c41,0.849
21-Jan,43,c43,0.786
21-Jan,44,c44,0.524
21-Jan,45,c46,0.728
21-Jan,46,134,0.176
21-Jan,47,135,0.325
21-Jan,48,138,0.386
21-Jan,49,139,0.783
21-Jan,50,142,0.577
21-Jan,51,143,0.524
21-Jan,52,157,0.222
21-Jan,53,159,0.148
21-Jan,54,162,0.361
21-Jan,55,166,0.784
21-Jan,56,167,0.684
21-Jan,57,168,0.185
21-Jan,58,181,0.461
21-Jan,59,184,0.331
21-Jan,60,186,1.346
21-Jan,61,187,0.602
21-Jan,62,189,0.344
21-Jan,63,192,0.461
21-Jan,64,206,0.387
21-Jan,65,208,0.318
21-Jan,66,207,0.182
21-Jan,67,212,0.424
21-Jan,68,214,1.132
21-Jan,69,216,0.161
21-Jan,70,229,0.436
21-Jan,71,230,0.791
21-Jan,72,232,0.261
21-Jan,73,235,0.678
21-Jan,75,236,0.618
21-Jan,76,237,0.297
21-Jan,77,c14,0.602
21-Jan,78,c17,0.691
21-Jan,79,c18,1.118
21-Jan,80,c20,0.895
21-Jan,81,c21,0.897
21-Jan,82,c23,1.021
21-Jan,83,15,0.584
21-Jan,84,16,0.601
21-Jan,85,18,0.255
21-Jan,86,20,0.476
21-Jan,87,22,0.783
21-Jan,88,24,0.197
21-Jan,89,37,0.721
21-Jan,90,38,0.731
21-Jan,91,41,0.229
21-Jan,92,45,0.051
21-Jan,93,47,0.884
21-Jan,94,48,0.306
21-Jan,95,61,0.309
21-Jan,96,64,0.598
21-Jan,97,65,0.476
21-Jan,98,68,0.362
21-Jan,99,70,0.407
21-Jan,100,72,0.556
21-Jan,101,85,0.364
21-Jan,102,88,0.468
21-Jan,103,90,0.398
21-Jan,104,92,0.463
21-Jan,105,93,0.225
21-Jan,106,95,0.251
21-Jan,107,109,0.643
21-Jan,108,110,0.629
21-Jan,109,114,0.304
21-Jan,110,118,0.697
21-Jan,111,119,0.358
21-Jan,112,120,0.675
22-Jan,1,c61,0.788
22-Jan,2,c65,0.659
22-Jan,3,c66,0.749
22-Jan,4,c67,0.522
22-Jan,5,c69,0.617
22-Jan,6,c72,0.477
22-Jan,7,255,0.207
22-Jan,8,256,0.233
22-Jan,9,257,0.261
22-Jan,10,260,0.394
22-Jan,11,263,0.424
22-Jan,12,264,0.289
22-Jan,13,279,0.681
22-Jan,14,281,0.665
22-Jan,15,282,0.437
22-Jan,16,286,0.174
22-Jan,17,287,0.541
22-Jan,18,288,0.149
22-Jan,19,302,0.6
22-Jan,20,304,0.235
22-Jan,21,306,0.294
22-Jan,22,308,0.142
22-Jan,24,310,0.347
22-Jan,25,312,0.306
22-Jan,26,325,0.208
22-Jan,27,327,0.491
22-Jan,28,330,0.456
22-Jan,29,333,0.447
22-Jan,30,334,0.057
22-Jan,31,335,0.785
22-Jan,32,351,0.632
22-Jan,33,353,0.554
22-Jan,34,354,0.369
22-Jan,35,355,0.53
22-Jan,36,357,0.473
22-Jan,37,359,0.516
