Date,Day,Temp,Genotype,Flask,Method,Count1,C2,C3,C4,C5,C6,C7,C8,C9,C10,Average,Density,Densityx10000
5/20/2019,1,26,FLCass,1,0,24,27,23,22,28,28,25,28,,,25.625,28472.22222,2.847222222
5/20/2019,1,26,FLCass,2,0,20,23,26,20,25,27,17,14,28,25,22.5,25000,2.5
5/20/2019,1,26,FLCass,3,0,12,15,17,17,13,17,17,15,,,15.375,17083.33333,1.708333333
5/20/2019,1,26,FLCass,4,0,15,15,18,19,25,26,26,25,,,21.125,23472.22222,2.347222222
5/20/2019,1,26,CCMP2464,1,0,8,7,14,9,,,,,,,9.5,10555.55556,1.055555556
5/20/2019,1,26,CCMP2464,2,0,5,13,13,20,,,,,,,12.75,14166.66667,1.416666667
5/20/2019,1,26,CCMP2464,3,0,20,14,11,9,,,,,,,13.5,15000,1.5
5/20/2019,1,26,CCMP2464,4,0,8,12,19,21,,,,,,,15,16666.66667,1.666666667
5/20/2019,1,26,KB8,1,0,8,15,18,8,,,,,,,12.25,13611.11111,1.361111111
5/20/2019,1,26,KB8,2,0,2,3,7,16,,,,,,,7,7777.777778,0.777777778
5/20/2019,1,26,KB8,3,0,8,7,8,7,,,,,,,7.5,8333.333333,0.833333333
5/20/2019,1,26,KB8,4,0,9,12,16,19,,,,,,,14,15555.55556,1.555555556
5/20/2019,1,26,CCMP2458,1,0,14,24,31,23,,,,,,,23,25555.55556,2.555555556
5/20/2019,1,26,CCMP2458,2,0,19,17,32,27,,,,,,,23.75,26388.88889,2.638888889
5/20/2019,1,26,CCMP2458,3,0,20,19,22,22,17,,,,,,20,22222.22222,2.222222222
5/20/2019,1,26,CCMP2458,4,0,15,12,37,27,,,,,,,22.75,25277.77778,2.527777778
5/20/2019,1,26,RT362,1,0,18,18,28,17,,,,,,,20.25,22500,2.25
5/20/2019,1,26,RT362,2,0,13,18,19,23,,,,,,,18.25,20277.77778,2.027777778
5/20/2019,1,26,RT362,3,0,18,27,22,18,,,,,,,21.25,23611.11111,2.361111111
5/20/2019,1,26,RT362,4,0,25,17,28,20,,,,,,,22.5,25000,2.5
5/20/2019,1,30,CCMP2458,1,0,36,28,24,30,,,,,,,29.5,32777.77778,3.277777778
5/20/2019,1,30,CCMP2458,2,0,27,27,27,37,,,,,,,29.5,32777.77778,3.277777778
5/20/2019,1,30,CCMP2458,3,0,38,41,35,46,,,,,,,40,44444.44444,4.444444444
5/20/2019,1,30,CCMP2458,4,0,27,31,43,35,,,,,,,34,37777.77778,3.777777778
5/20/2019,1,30,CCMP2464,1,0,3,3,6,8,,,,,,,5,5555.555556,0.555555556
5/20/2019,1,30,CCMP2464,2,0,4,12,10,6,,,,,,,8,8888.888889,0.888888889
5/20/2019,1,30,CCMP2464,3,0,11,9,7,8,,,,,,,8.75,9722.222222,0.972222222
5/20/2019,1,30,CCMP2464,4,0,9,3,5,5,,,,,,,5.5,6111.111111,0.611111111
5/20/2019,1,30,RT362,1,0,28,34,28,29,,,,,,,29.75,33055.55556,3.305555556
5/20/2019,1,30,RT362,2,0,43,37,34,40,,,,,,,38.5,42777.77778,4.277777778
5/20/2019,1,30,RT362,3,0,25,35,18,31,38,39,,,,,31,34444.44444,3.444444444
5/20/2019,1,30,RT362,4,0,15,24,27,23,,,,,,,22.25,24722.22222,2.472222222
5/20/2019,1,30,KB8,1,0,14,15,21,21,,,,,,,17.75,19722.22222,1.972222222
5/20/2019,1,30,KB8,2,0,16,19,18,18,,,,,,,17.75,19722.22222,1.972222222
5/20/2019,1,30,KB8,3,0,13,18,27,28,,,,,,,21.5,23888.88889,2.388888889
5/20/2019,1,30,KB8,4,0,11,11,10,15,,,,,,,11.75,13055.55556,1.305555556
5/20/2019,1,30,FLCass,1,0,25,31,26,19,,,,,,,25.25,28055.55556,2.805555556
5/20/2019,1,30,FLCass,2,0,20,24,32,44,,,,,,,30,33333.33333,3.333333333
5/20/2019,1,30,FLCass,3,0,35,41,45,47,,,,,,,42,46666.66667,4.666666667
5/20/2019,1,30,FLCass,4,0,20,30,43,46,,,,,,,34.75,38611.11111,3.861111111
5/20/2019,1,32,CCMP2458,1,0,5,8,9,15,8,,,,,,9,10000,1
5/20/2019,1,32,CCMP2458,2,0,12,11,14,13,,,,,,,12.5,13888.88889,1.388888889
5/20/2019,1,32,CCMP2458,3,0,14,11,14,14,,,,,,,13.25,14722.22222,1.472222222
5/20/2019,1,32,CCMP2458,4,0,16,11,14,3,,,,,,,11,12222.22222,1.222222222
5/20/2019,1,32,CCMP2464,1,0,8,19,9,5,14,12,,,,,11.16666667,12407.40741,1.240740741
5/20/2019,1,32,CCMP2464,2,0,3,8,7,6,,,,,,,6,6666.666667,0.666666667
5/20/2019,1,32,CCMP2464,3,0,8,9,2,7,,,,,,,6.5,7222.222222,0.722222222
5/20/2019,1,32,CCMP2464,4,0,5,10,11,7,,,,,,,8.25,9166.666667,0.916666667
5/20/2019,1,32,RT362,1,0,13,17,10,8,,,,,,,12,13333.33333,1.333333333
5/20/2019,1,32,RT362,2,0,11,17,13,13,,,,,,,13.5,15000,1.5
5/20/2019,1,32,RT362,3,0,14,20,17,15,,,,,,,16.5,18333.33333,1.833333333
5/20/2019,1,32,RT362,4,0,15,9,17,9,,,,,,,12.5,13888.88889,1.388888889
5/20/2019,1,32,KB8,1,0,2,4,14,5,8,14,,,,,7.833333333,8703.703704,0.87037037
5/20/2019,1,32,KB8,2,0,6,7,0,8,,,,,,,5.25,5833.333333,0.583333333
5/20/2019,1,32,KB8,3,0,6,3,14,6,,,,,,,7.25,8055.555556,0.805555556
5/20/2019,1,32,KB8,4,0,2,4,3,3,,,,,,,3,3333.333333,0.333333333
5/20/2019,1,32,FLCass,1,0,10,10,12,13,,,,,,,11.25,12500,1.25
5/20/2019,1,32,FLCass,2,0,28,25,22,20,,,,,,,23.75,26388.88889,2.638888889
5/20/2019,1,32,FLCass,3,0,36,19,29,22,,,,,,,26.5,29444.44444,2.944444444
5/20/2019,1,32,FLCass,4,0,14,19,25,28,,,,,,,21.5,23888.88889,2.388888889
5/22/2019,3,26,CCMP2458,1,0,59,53,44,45,,,,,,,50.25,55833.33333,5.583333333
5/22/2019,3,26,CCMP2458,2,0,60,70,66,64,,,,,,,65,72222.22222,7.222222222
5/22/2019,3,26,CCMP2458,3,0,39,52,72,41,,,,,,,51,56666.66667,5.666666667
5/22/2019,3,26,CCMP2458,4,0,41,42,47,51,,,,,,,45.25,50277.77778,5.027777778
5/22/2019,3,26,KB8,1,0,24,35,27,23,,,,,,,27.25,30277.77778,3.027777778
5/22/2019,3,26,KB8,2,0,14,19,16,24,,,,,,,18.25,20277.77778,2.027777778
5/22/2019,3,26,KB8,3,0,39,23,30,34,,,,,,,31.5,35000,3.5
5/22/2019,3,26,KB8,4,0,31,16,30,22,,,,,,,24.75,27500,2.75
5/22/2019,3,26,FLCass,1,0,39,39,59,45,,,,,,,45.5,50555.55556,5.055555556
5/22/2019,3,26,FLCass,2,0,39,38,54,70,,,,,,,50.25,55833.33333,5.583333333
5/22/2019,3,26,FLCass,3,0,31,42,52,48,,,,,,,43.25,48055.55556,4.805555556
5/22/2019,3,26,FLCass,4,0,42,44,56,47,,,,,,,47.25,52500,5.25
5/22/2019,3,26,RT362,1,0,58,73,66,70,,,,,,,66.75,74166.66667,7.416666667
5/22/2019,3,26,RT362,2,0,92,70,81,62,,,,,,,76.25,84722.22222,8.472222222
5/22/2019,3,26,RT362,3,0,75,64,79,53,,,,,,,67.75,75277.77778,7.527777778
5/22/2019,3,26,RT362,4,0,49,44,84,47,41,66,,,,,55.16666667,61296.2963,6.12962963
5/22/2019,3,26,CCMP2464,1,0,14,5,5,7,,,,,,,7.75,8611.111111,0.861111111
5/22/2019,3,26,CCMP2464,2,0,10,15,12,10,,,,,,,11.75,13055.55556,1.305555556
5/22/2019,3,26,CCMP2464,3,0,14,3,4,13,,,,,,,8.5,9444.444444,0.944444444
5/22/2019,3,26,CCMP2464,4,0,10,16,12,8,,,,,,,11.5,12777.77778,1.277777778
5/22/2019,3,30,RT362,1,0,105,99,70,78,,,,,,,88,97777.77778,9.777777778
5/22/2019,3,30,RT362,2,0,94,77,93,106,,,,,,,92.5,102777.7778,10.27777778
5/22/2019,3,30,RT362,3,0,123,69,94,91,,,,,,,94.25,104722.2222,10.47222222
5/22/2019,3,30,RT362,4,0,106,132,110,119,,,,,,,116.75,129722.2222,12.97222222
5/22/2019,3,30,FLCass,1,0,93,95,95,116,,,,,,,99.75,110833.3333,11.08333333
5/22/2019,3,30,FLCass,2,0,111,135,80,94,,,,,,,105,116666.6667,11.66666667
5/22/2019,3,30,FLCass,3,0,92,102,106,95,,,,,,,98.75,109722.2222,10.97222222
5/22/2019,3,30,FLCass,4,0,96,112,139,120,,,,,,,116.75,129722.2222,12.97222222
5/22/2019,3,30,KB8,1,0,47,55,47,57,,,,,,,51.5,57222.22222,5.722222222
5/22/2019,3,30,KB8,2,0,66,46,51,51,,,,,,,53.5,59444.44444,5.944444444
5/22/2019,3,30,KB8,3,0,61,60,59,60,,,,,,,60,66666.66667,6.666666667
5/22/2019,3,30,KB8,4,0,42,21,30,42,,,,,,,33.75,37500,3.75
5/22/2019,3,30,CCMP2464,1,0,14,13,8,8,,,,,,,10.75,11944.44444,1.194444444
5/22/2019,3,30,CCMP2464,2,0,14,17,17,22,,,,,,,17.5,19444.44444,1.944444444
5/22/2019,3,30,CCMP2464,3,0,11,18,19,17,,,,,,,16.25,18055.55556,1.805555556
5/22/2019,3,30,CCMP2464,4,0,21,16,15,10,,,,,,,15.5,17222.22222,1.722222222
5/22/2019,3,30,CCMP2458,1,0,90,90,80,96,,,,,,,89,98888.88889,9.888888889
5/22/2019,3,30,CCMP2458,2,0,94,96,99,124,,,,,,,103.25,114722.2222,11.47222222
5/22/2019,3,30,CCMP2458,3,0,79,89,85,85,,,,,,,84.5,93888.88889,9.388888889
5/22/2019,3,30,CCMP2458,4,0,86,85,89,79,,,,,,,84.75,94166.66667,9.416666667
5/22/2019,3,32,RT362,1,0,36,32,33,46,,,,,,,36.75,40833.33333,4.083333333
5/22/2019,3,32,RT362,2,0,24,34,46,42,,,,,,,36.5,40555.55556,4.055555556
5/22/2019,3,32,RT362,3,0,31,35,38,48,,,,,,,38,42222.22222,4.222222222
5/22/2019,3,32,RT362,4,0,29,35,38,29,,,,,,,32.75,36388.88889,3.638888889
5/22/2019,3,32,CCMP2458,1,0,26,27,23,29,,,,,,,26.25,29166.66667,2.916666667
5/22/2019,3,32,CCMP2458,2,0,28,35,22,30,,,,,,,28.75,31944.44444,3.194444444
5/22/2019,3,32,CCMP2458,3,0,29,26,26,26,,,,,,,26.75,29722.22222,2.972222222
5/22/2019,3,32,CCMP2458,4,0,38,31,9,28,,,,,,,26.5,29444.44444,2.944444444
5/22/2019,3,32,FLCass,1,0,13,16,30,53,,,,,,,28,31111.11111,3.111111111
5/22/2019,3,32,FLCass,2,0,97,71,28,33,,,,,,,57.25,63611.11111,6.361111111
5/22/2019,3,32,FLCass,3,0,18,44,34,46,,,,,,,35.5,39444.44444,3.944444444
5/22/2019,3,32,FLCass,4,0,13,36,50,19,,,,,,,29.5,32777.77778,3.277777778
5/22/2019,3,32,KB8,1,0,8,18,7,20,,,,,,,13.25,14722.22222,1.472222222
5/22/2019,3,32,KB8,2,0,15,19,29,12,,,,,,,18.75,20833.33333,2.083333333
5/22/2019,3,32,KB8,3,0,11,8,18,16,,,,,,,13.25,14722.22222,1.472222222
5/22/2019,3,32,KB8,4,0,6,4,12,14,,,,,,,9,10000,1
5/22/2019,3,32,CCMP2464,1,0,8,10,11,4,,,,,,,8.25,9166.666667,0.916666667
5/22/2019,3,32,CCMP2464,2,0,6,16,8,11,,,,,,,10.25,11388.88889,1.138888889
5/22/2019,3,32,CCMP2464,3,0,9,8,11,6,,,,,,,8.5,9444.444444,0.944444444
5/22/2019,3,32,CCMP2464,4,0,9,8,10,4,,,,,,,7.75,8611.111111,0.861111111
5/24/2019,5,26,CCMP2464,1,0,9,12,11,12,,,,,,,11,12222.22222,1.222222222
5/24/2019,5,26,CCMP2464,2,0,7,5,11,8,,,,,,,7.75,8611.111111,0.861111111
5/24/2019,5,26,CCMP2464,3,0,14,6,11,7,,,,,,,9.5,10555.55556,1.055555556
5/24/2019,5,26,CCMP2464,4,0,8,7,9,11,,,,,,,8.75,9722.222222,0.972222222
5/24/2019,5,26,CCMP2458,1,0,104,123,99,175,,,,,,,125.25,139166.6667,13.91666667
5/24/2019,5,26,CCMP2458,2,0,101,100,73,119,,,,,,,98.25,109166.6667,10.91666667
5/24/2019,5,26,CCMP2458,3,0,83,93,108,99,,,,,,,95.75,106388.8889,10.63888889
5/24/2019,5,26,CCMP2458,4,0,68,67,98,65,,,,,,,74.5,82777.77778,8.277777778
5/24/2019,5,26,FLCass,1,0,92,92,137,140,,,,,,,115.25,128055.5556,12.80555556
5/24/2019,5,26,FLCass,2,0,97,97,122,247,,,,,,,140.75,156388.8889,15.63888889
5/24/2019,5,26,FLCass,3,0,121,96,143,149,,,,,,,127.25,141388.8889,14.13888889
5/24/2019,5,26,FLCass,4,0,109,126,120,92,,,,,,,111.75,124166.6667,12.41666667
5/24/2019,5,26,KB8,1,0,84,72,50,82,,,,,,,72,80000,8
5/24/2019,5,26,KB8,2,0,46,52,39,58,,,,,,,48.75,54166.66667,5.416666667
5/24/2019,5,26,KB8,3,0,43,51,58,62,,,,,,,53.5,59444.44444,5.944444444
5/24/2019,5,26,KB8,4,0,90,99,52,51,,,,,,,73,81111.11111,8.111111111
5/24/2019,5,26,RT362,1,0,199,149,153,164,,,,,,,166.25,184722.2222,18.47222222
5/24/2019,5,26,RT362,2,0,163,133,172,117,,,,,,,146.25,162500,16.25
5/24/2019,5,26,RT362,3,0,149,105,128,148,,,,,,,132.5,147222.2222,14.72222222
5/24/2019,5,26,RT362,4,0,127,157,165,139,,,,,,,147,163333.3333,16.33333333
5/24/2019,5,30,CCMP2458,1,0,239,226,212,249,,,,,,,231.5,257222.2222,25.72222222
5/24/2019,5,30,CCMP2458,2,0,201,221,232,200,,,,,,,213.5,237222.2222,23.72222222
5/24/2019,5,30,CCMP2458,3,0,262,241,234,271,,,,,,,252,280000,28
5/24/2019,5,30,CCMP2458,4,0,265,257,205,248,,,,,,,243.75,270833.3333,27.08333333
5/24/2019,5,30,FLCass,1,1,75,53,80,66,,,,,,,68.5,171250,17.125
5/24/2019,5,30,FLCass,2,1,80,87,79,97,,,,,,,85.75,214375,21.4375
5/24/2019,5,30,FLCass,3,0,155,127,150,177,,,,,,,152.25,169166.6667,16.91666667
5/24/2019,5,30,FLCass,4,1,67,80,60,81,,,,,,,72,180000,18
5/24/2019,5,30,KB8,1,0,155,142,170,159,,,,,,,156.5,173888.8889,17.38888889
5/24/2019,5,30,KB8,2,0,146,151,156,128,,,,,,,145.25,161388.8889,16.13888889
5/24/2019,5,30,KB8,3,0,156,151,153,155,,,,,,,153.75,170833.3333,17.08333333
5/24/2019,5,30,KB8,4,0,76,71,68,90,,,,,,,76.25,84722.22222,8.472222222
5/24/2019,5,30,CCMP2464,1,0,10,8,16,4,,,,,,,9.5,10555.55556,1.055555556
5/24/2019,5,30,CCMP2464,2,0,11,12,5,10,,,,,,,9.5,10555.55556,1.055555556
5/24/2019,5,30,CCMP2464,3,0,8,10,16,6,,,,,,,10,11111.11111,1.111111111
5/24/2019,5,30,CCMP2464,4,0,11,10,9,3,,,,,,,8.25,9166.666667,0.916666667
5/24/2019,5,30,RT362,1,0,190,182,145,181,,,,,,,174.5,193888.8889,19.38888889
5/24/2019,5,30,RT362,2,0,248,227,191,219,,,,,,,221.25,245833.3333,24.58333333
5/24/2019,5,30,RT362,3,0,245,210,213,261,,,,,,,232.25,258055.5556,25.80555556
5/24/2019,5,30,RT362,4,0,237,232,254,191,,,,,,,228.5,253888.8889,25.38888889
5/24/2019,5,32,CCMP2458,1,0,57,74,46,60,,,,,,,59.25,65833.33333,6.583333333
5/24/2019,5,32,CCMP2458,2,0,84,60,57,83,,,,,,,71,78888.88889,7.888888889
5/24/2019,5,32,CCMP2458,3,0,58,46,65,54,,,,,,,55.75,61944.44444,6.194444444
5/24/2019,5,32,CCMP2458,4,0,71,57,58,74,,,,,,,65,72222.22222,7.222222222
5/24/2019,5,32,RT362,1,0,93,90,78,91,,,,,,,88,97777.77778,9.777777778
5/24/2019,5,32,RT362,2,0,103,79,116,83,,,,,,,95.25,105833.3333,10.58333333
5/24/2019,5,32,RT362,3,0,122,122,117,103,,,,,,,116,128888.8889,12.88888889
5/24/2019,5,32,RT362,4,0,94,111,95,108,,,,,,,102,113333.3333,11.33333333
5/24/2019,5,32,FLCass,1,0,35,52,28,32,,,,,,,36.75,40833.33333,4.083333333
5/24/2019,5,32,FLCass,2,0,56,53,45,71,,,,,,,56.25,62500,6.25
5/24/2019,5,32,FLCass,3,0,95,96,110,101,,,,,,,100.5,111666.6667,11.16666667
5/24/2019,5,32,FLCass,4,0,128,62,55,72,,,,,,,79.25,88055.55556,8.805555556
5/24/2019,5,32,CCMP2464,1,0,8,6,11,12,,,,,,,9.25,10277.77778,1.027777778
5/24/2019,5,32,CCMP2464,2,0,14,11,10,6,,,,,,,10.25,11388.88889,1.138888889
5/24/2019,5,32,CCMP2464,3,0,3,1,2,4,,,,,,,2.5,2777.777778,0.277777778
5/24/2019,5,32,CCMP2464,4,0,10,9,14,12,,,,,,,11.25,12500,1.25
5/24/2019,5,32,KB8,1,0,19,21,14,20,,,,,,,18.5,20555.55556,2.055555556
5/24/2019,5,32,KB8,2,0,21,28,36,46,,,,,,,32.75,36388.88889,3.638888889
5/24/2019,5,32,KB8,3,0,28,14,26,23,,,,,,,22.75,25277.77778,2.527777778
5/24/2019,5,32,KB8,4,0,12,7,15,30,,,,,,,16,17777.77778,1.777777778
5/27/2019,8,26,KB8,1,1,69,94,90,99,,,,,,,88,220000,22
5/27/2019,8,26,KB8,2,1,76,75,52,47,,,,,,,62.5,156250,15.625
5/27/2019,8,26,KB8,3,1,64,61,74,65,,,,,,,66,165000,16.5
5/27/2019,8,26,KB8,4,1,85,90,59,87,,,,,,,80.25,200625,20.0625
5/27/2019,8,26,FLCass,1,1,144,128,92,87,,,,,,,112.75,281875,28.1875
5/27/2019,8,26,FLCass,2,1,118,127,92,87,,,,,,,106,265000,26.5
5/27/2019,8,26,FLCass,3,1,124,113,116,117,,,,,,,117.5,293750,29.375
5/27/2019,8,26,FLCass,4,0,145,285,165,192,,,,,,,196.75,218611.1111,21.86111111
5/27/2019,8,26,CCMP2464,1,0,18,14,17,9,,,,,,,14.5,16111.11111,1.611111111
5/27/2019,8,26,CCMP2464,2,0,11,10,12,14,,,,,,,11.75,13055.55556,1.305555556
5/27/2019,8,26,CCMP2464,3,0,7,14,16,16,,,,,,,13.25,14722.22222,1.472222222
5/27/2019,8,26,CCMP2464,4,0,12,14,15,9,,,,,,,12.5,13888.88889,1.388888889
5/27/2019,8,26,RT362,1,2,28,29,35,51,,,,,,,35.75,357500,35.75
5/27/2019,8,26,RT362,2,2,54,40,41,50,,,,,,,46.25,462500,46.25
5/27/2019,8,26,RT362,3,2,32,38,38,42,,,,,,,37.5,375000,37.5
5/27/2019,8,26,RT362,4,2,44,37,39,24,,,,,,,36,360000,36
5/27/2019,8,26,CCMP2458,1,0,217,253,269,229,,,,,,,242,268888.8889,26.88888889
5/27/2019,8,26,CCMP2458,2,0,243,274,253,229,,,,,,,249.75,277500,27.75
5/27/2019,8,26,CCMP2458,3,0,226,185,157,224,,,,,,,198,220000,22
5/27/2019,8,26,CCMP2458,4,0,185,179,201,274,,,,,,,209.75,233055.5556,23.30555556
5/27/2019,8,30,RT362,1,2,48,37,65,64,,,,,,,53.5,535000,53.5
5/27/2019,8,30,RT362,2,2,53,58,69,54,,,,,,,58.5,585000,58.5
5/27/2019,8,30,RT362,3,2,49,63,53,69,,,,,,,58.5,585000,58.5
5/27/2019,8,30,RT362,4,2,40,55,49,64,,,,,,,52,520000,52
5/27/2019,8,30,CCMP2458,1,2,59,58,49,63,,,,,,,57.25,572500,57.25
5/27/2019,8,30,CCMP2458,2,2,61,66,52,45,,,,,,,56,560000,56
5/27/2019,8,30,CCMP2458,3,2,57,64,53,79,,,,,,,63.25,632500,63.25
5/27/2019,8,30,CCMP2458,4,2,65,69,68,63,,,,,,,66.25,662500,66.25
5/27/2019,8,30,FLCass,1,2,41,52,60,38,,,,,,,47.75,477500,47.75
5/27/2019,8,30,FLCass,2,2,31,61,30,51,,,,,,,43.25,432500,43.25
5/27/2019,8,30,FLCass,3,2,36,43,30,96,,,,,,,51.25,512500,51.25
5/27/2019,8,30,FLCass,4,2,47,37,47,40,,,,,,,42.75,427500,42.75
5/27/2019,8,30,CCMP2464,1,0,6,6,15,12,,,,,,,9.75,10833.33333,1.083333333
5/27/2019,8,30,CCMP2464,2,0,9,8,8,14,,,,,,,9.75,10833.33333,1.083333333
5/27/2019,8,30,CCMP2464,3,0,9,12,16,13,,,,,,,12.5,13888.88889,1.388888889
5/27/2019,8,30,CCMP2464,4,0,18,12,13,11,,,,,,,13.5,15000,1.5
5/27/2019,8,30,KB8,1,2,83,67,72,76,,,,,,,74.5,745000,74.5
5/27/2019,8,30,KB8,2,2,39,70,64,77,,,,,,,62.5,625000,62.5
5/27/2019,8,30,KB8,3,2,49,76,49,66,,,,,,,60,600000,60
5/27/2019,8,30,KB8,4,2,30,47,63,50,,,,,,,47.5,475000,47.5
5/27/2019,8,32,CCMP2458,1,0,190,217,232,204,,,,,,,210.75,234166.6667,23.41666667
5/27/2019,8,32,CCMP2458,2,0,165,214,235,189,,,,,,,200.75,223055.5556,22.30555556
5/27/2019,8,32,CCMP2458,3,0,254,202,253,168,,,,,,,219.25,243611.1111,24.36111111
5/27/2019,8,32,CCMP2458,4,0,158,171,214,189,,,,,,,183,203333.3333,20.33333333
5/27/2019,8,32,FLCass,1,0,130,141,191,163,,,,,,,156.25,173611.1111,17.36111111
5/27/2019,8,32,FLCass,2,0,188,187,173,165,,,,,,,178.25,198055.5556,19.80555556
5/27/2019,8,32,FLCass,3,1,149,78,84,106,,,,,,,104.25,260625,26.0625
